timestamp,sample_idx,foreground_pkg,fps,frame_count,p0_freq,p0_governor,p2_freq,p2_governor,p5_freq,p5_governor,p7_freq,p7_governor,gpu_freq_hz,gpu_busy_pct,temp_cpu_max_c,temp_gpu_max_c,temp_skin_c,temp_battery_c,fan_signal,fan_signal_unit,battery_current_ma,battery_voltage_mv,pulse_installed,pulse_service_running
1785098721218,0,com.retrohrai.launcher,37.7,60,1804800,walt,844800,walt,729600,walt,902400,walt,231000000,14,52.3,48.9,45.8,31.0,821,fan_rpm_state,-411997,7545026,false,true
1785098727589,1,com.miHoYo.Yuanshen,50.3,53,2265600,walt,3148800,walt,2956800,walt,3302400,walt,231000000,35,94.2,63.3,47.3,31.0,909,fan_rpm_state,-1295503,7419684,false,true
1785098734370,2,com.miHoYo.Yuanshen,60.0,126,1804800,walt,2707200,walt,844800,walt,3302400,walt,231000000,39,94.6,64.9,48.9,31.0,3548,fan_rpm_state,-1111477,7434087,false,true
1785098740653,3,com.miHoYo.Yuanshen,60.0,126,1804800,walt,844800,walt,1190400,walt,902400,walt,231000000,65,64.3,60.2,49.9,31.0,4105,fan_rpm_state,-734271,7486053,false,true
1785098746804,4,com.miHoYo.Yuanshen,53.6,126,2150400,walt,3014400,walt,1190400,walt,2803200,walt,366000000,56,72.5,60.6,49.2,31.0,1617,fan_rpm_state,-1231414,7408396,false,true
1785098753074,5,com.miHoYo.Yuanshen,60.0,126,2035200,walt,2899200,walt,1075200,walt,1017600,walt,310000000,75,69.2,61.8,50.3,31.0,2756,fan_rpm_state,-1125210,7425329,false,true
1785098759253,6,com.miHoYo.Yuanshen,60.0,126,2035200,walt,2899200,walt,1190400,walt,1363200,walt,310000000,90,69.6,61.4,50.4,31.0,2460,fan_rpm_state,-1034571,7442845,false,true
1785098765421,7,com.miHoYo.Yuanshen,60.0,126,2035200,walt,2899200,walt,1190400,walt,1478400,walt,310000000,73,67.4,61.0,50.4,31.0,2314,fan_rpm_state,-1129788,7419879,false,true
1785098771574,8,com.miHoYo.Yuanshen,60.0,126,2035200,walt,2899200,walt,1190400,walt,1593600,walt,310000000,92,70.3,61.4,50.7,31.0,2323,fan_rpm_state,-914634,7448684,false,true
1785098777747,9,com.miHoYo.Yuanshen,60.0,126,2035200,walt,2899200,walt,960000,walt,2112000,walt,310000000,82,67.4,61.0,50.9,31.0,3049,fan_rpm_state,-999780,7439147,false,true
1785098784118,10,com.miHoYo.Yuanshen,60.0,126,2150400,walt,2956800,walt,1190400,walt,1132800,walt,310000000,81,67.8,60.2,50.9,31.0,2323,fan_rpm_state,-926536,7452577,false,true
1785098790278,11,com.miHoYo.Yuanshen,59.5,126,2035200,walt,2899200,walt,1075200,walt,1593600,walt,310000000,76,79.2,60.2,50.8,31.0,2138,fan_rpm_state,-998865,7438369,false,true
