timestamp,sample_idx,foreground_pkg,fps,frame_count,p0_freq,p0_governor,p2_freq,p2_governor,p5_freq,p5_governor,p7_freq,p7_governor,gpu_freq_hz,gpu_busy_pct,temp_cpu_max_c,temp_gpu_max_c,temp_skin_c,temp_battery_c,fan_signal,fan_signal_unit,battery_current_ma,battery_voltage_mv,pulse_installed,pulse_service_running
1785137598350,0,com.retrohrai.launcher,59.2,69,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,13,66.5,49.3,43.9,32.0,794,fan_rpm_state,-851461,7577724,true,false
1785137604298,1,com.mojang.minecraftpe,87.2,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,22,83.0,58.3,45.5,32.0,2346,fan_rpm_state,-1175566,7524006,true,false
1785137610680,2,com.mojang.minecraftpe,30.2,127,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,10,95.4,64.9,46.9,32.0,2958,fan_rpm_state,-1651652,7455496,true,false
1785137616532,3,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,67,79.1,63.7,48.5,32.0,3764,fan_rpm_state,-1896104,7415597,true,false
1785137622688,4,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,77,96.1,67.3,49.5,32.0,5073,fan_rpm_state,-1813704,7428443,true,false
1785137628846,5,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,79,84.9,65.7,50.3,32.0,5777,fan_rpm_state,-1222259,7500650,true,false
1785137635004,6,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,70,86.4,64.9,50.4,32.0,3457,fan_rpm_state,-1461217,7458221,true,false
1785137641064,7,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,366000000,80,85.3,65.3,50.8,33.0,3489,fan_rpm_state,-1244232,7488973,true,false
1785137646904,8,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,67,74.4,59.4,50.4,33.0,3088,fan_rpm_state,-812092,7553979,true,false
1785137652849,9,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,75,86.5,63.3,50.5,33.0,2460,fan_rpm_state,-1062953,7523422,true,false
1785137658695,10,com.mojang.minecraftpe,120.0,125,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,69,76.4,61.0,50.6,33.0,3046,fan_rpm_state,-994287,7531986,true,false
1785137664842,11,com.mojang.minecraftpe,120.0,125,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,84,78.3,63.7,50.8,33.0,3137,fan_rpm_state,-1093166,7528677,true,false
1785137670692,12,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,70,75.6,61.4,50.9,33.0,2804,fan_rpm_state,-1042811,7516610,true,false
1785137676742,13,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,70,84.5,64.5,51.3,33.0,4545,fan_rpm_state,-981469,7526925,true,false
1785137682788,14,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,86,79.5,63.7,51.4,33.0,3049,fan_rpm_state,-1135282,7507462,true,false
1785137688933,15,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,75,91.9,64.9,51.9,33.0,3486,fan_rpm_state,-1171904,7500650,true,false
1785137694876,16,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,72,74.4,62.6,51.6,33.0,4545,fan_rpm_state,-982385,7528288,true,false
1785137701034,17,com.mojang.minecraftpe,120.0,125,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,78,92.3,67.3,51.9,33.0,6129,fan_rpm_state,-1307405,7484302,true,false
1785137707088,18,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,77,83.3,66.5,52.3,33.0,5571,fan_rpm_state,-1249725,7481187,true,false
1785137712938,19,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,366000000,74,81.0,64.5,52.1,33.0,3548,fan_rpm_state,-1249725,7483134,true,false
1785137718978,20,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,81,94.9,67.3,52.5,33.0,4453,fan_rpm_state,-1123379,7486832,true,false
1785137725224,21,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,74,95.0,69.6,52.7,33.0,5800,fan_rpm_state,-1305574,7459973,true,false
1785137731477,22,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,66,96.1,67.3,52.8,33.0,5483,fan_rpm_state,-1157255,7489557,true,false
1785137737325,23,com.mojang.minecraftpe,120.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,310000000,71,88.8,67.3,52.8,33.0,5214,fan_rpm_state,-1090420,7489362,true,false
1785137743459,24,pl.ablogger.app,96.0,33,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,37,69.4,59.0,52.3,33.0,4323,fan_rpm_state,-474254,7581227,true,false
