timestamp,sample_idx,foreground_pkg,fps,frame_count,p0_freq,p0_governor,p2_freq,p2_governor,p5_freq,p5_governor,p7_freq,p7_governor,gpu_freq_hz,gpu_busy_pct,temp_cpu_max_c,temp_gpu_max_c,temp_skin_c,temp_battery_c,fan_signal,fan_signal_unit,battery_current_ma,battery_voltage_mv,pulse_installed,pulse_service_running
1785147922206,0,com.retrohrai.launcher,29.9,127,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,13,57.0,47.3,44.0,27.0,1986,fan_rpm_state,1064784,7952776,true,true
1785147928056,1,com.retrohrai.launcher,30.0,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,13,55.8,46.5,43.8,27.0,993,fan_rpm_state,1002527,7949078,true,true
1785147934112,2,com.retrohrai.launcher,39.5,126,2265600,performance,3148800,performance,2956800,performance,3302400,performance,231000000,20,56.6,46.5,43.8,27.0,997,fan_rpm_state,1123379,7959977,true,true
1785147940080,3,com.mojang.minecraftpe,52.9,127,902400,schedutil,499200,schedutil,1824000,schedutil,480000,schedutil,231000000,9,83.0,54.7,45.1,27.0,2844,fan_rpm_state,127261,7824320,true,true
1785147946575,4,com.mojang.minecraftpe,55.6,126,2265600,schedutil,3148800,schedutil,2899200,schedutil,3302400,schedutil,231000000,18,89.2,59.8,45.9,27.0,1671,fan_rpm_state,-192265,7774884,true,true
1785147952848,5,com.mojang.minecraftpe,41.4,126,2265600,schedutil,2899200,schedutil,2438400,schedutil,3302400,schedutil,231000000,20,79.1,57.1,47.3,28.0,6105,fan_rpm_state,579543,7883098,true,true
1785147959767,6,com.mojang.minecraftpe,60.0,126,787200,schedutil,1286400,schedutil,1286400,schedutil,1363200,schedutil,231000000,45,60.7,53.2,46.9,28.0,1611,fan_rpm_state,821248,7926890,true,true
1785147966302,7,com.mojang.minecraftpe,60.0,126,1248000,schedutil,1286400,schedutil,960000,schedutil,787200,schedutil,231000000,35,56.9,51.6,46.8,28.0,1407,fan_rpm_state,755328,7921830,true,true
1785147973142,8,com.mojang.minecraftpe,60.0,127,1017600,schedutil,1286400,schedutil,499200,schedutil,480000,schedutil,231000000,45,54.6,50.8,46.9,28.0,1026,fan_rpm_state,821248,7935843,true,true
1785147979840,9,com.mojang.minecraftpe,60.0,126,1248000,schedutil,1286400,schedutil,1075200,schedutil,480000,schedutil,231000000,38,59.2,52.4,47.2,28.0,1026,fan_rpm_state,905478,7948689,true,true
1785147986591,10,com.mojang.minecraftpe,60.0,127,1248000,schedutil,1286400,schedutil,1286400,schedutil,1363200,schedutil,231000000,38,54.6,50.8,47.3,28.0,1026,fan_rpm_state,993371,7967373,true,true
1785147992878,11,com.mojang.minecraftpe,60.0,126,1248000,schedutil,1190400,schedutil,1190400,schedutil,480000,schedutil,231000000,40,53.5,50.4,47.4,28.0,1406,fan_rpm_state,1044642,7977494,true,true
1785147999367,12,com.mojang.minecraftpe,60.0,126,1248000,schedutil,1286400,schedutil,1286400,schedutil,480000,schedutil,231000000,28,53.5,50.8,47.5,28.0,1025,fan_rpm_state,853292,7951414,true,true
1785148005955,13,com.mojang.minecraftpe,60.0,126,1248000,schedutil,1286400,schedutil,1286400,schedutil,1132800,schedutil,231000000,45,57.6,51.2,47.6,28.0,1054,fan_rpm_state,1007105,7972434,true,true
1785148012448,14,com.mojang.minecraftpe,60.0,126,1248000,schedutil,1286400,schedutil,1286400,schedutil,787200,schedutil,231000000,42,55.0,51.6,47.9,28.0,1055,fan_rpm_state,1041895,7984501,true,true
