write #1: duty=150 at t=0
t=0s ts=1785424990 rpm=Current RPM 2756 duty=150
t=1s ts=1785424991 rpm=Current RPM 3278 duty=150
t=2s ts=1785424992 rpm=Current RPM 4716 duty=150
t=3s ts=1785424993 rpm=Current RPM 4780 duty=150
t=4s ts=1785424994 rpm=Current RPM 4814 duty=150
t=5s ts=1785424996 rpm=Current RPM 4800 duty=150
t=6s ts=1785424997 rpm=Current RPM 4833 duty=150
t=7s ts=1785424998 rpm=Current RPM 4809 duty=150
t=8s ts=1785424999 rpm=Current RPM 4809 duty=150
t=9s ts=1785425000 rpm=Current RPM 4814 duty=150
t=10s ts=1785425001 rpm=Current RPM 4838 duty=150
t=11s ts=1785425002 rpm=Current RPM 4868 duty=150
t=12s ts=1785425003 rpm=Current RPM 4843 duty=150
t=13s ts=1785425004 rpm=Current RPM 4863 duty=150
t=14s ts=1785425005 rpm=Current RPM 4863 duty=150
t=15s ts=1785425006 rpm=Current RPM 4897 duty=150
t=16s ts=1785425008 rpm=Current RPM 4872 duty=150
t=17s ts=1785425009 rpm=Current RPM 4863 duty=150
t=18s ts=1785425010 rpm=Current RPM 4892 duty=150
t=19s ts=1785425011 rpm=Current RPM 4863 duty=76
REASSERT #1 detected at t=19s (duty now 76)
write #2: duty=150 at t=19s (right after reassert #1)
post2 t=0s ts=1785425011 rpm=Current RPM 4863 duty=150
post2 t=1s ts=1785425012 rpm=Current RPM 4579 duty=150
post2 t=2s ts=1785425013 rpm=Current RPM 4741 duty=150
post2 t=3s ts=1785425014 rpm=Current RPM 4892 duty=150
post2 t=4s ts=1785425015 rpm=Current RPM 4902 duty=150
post2 t=5s ts=1785425016 rpm=Current RPM 4921 duty=150
post2 t=6s ts=1785425017 rpm=Current RPM 4892 duty=150
post2 t=7s ts=1785425018 rpm=Current RPM 4926 duty=150
post2 t=8s ts=1785425020 rpm=Current RPM 4931 duty=150
post2 t=9s ts=1785425021 rpm=Current RPM 4887 duty=150
post2 t=10s ts=1785425022 rpm=Current RPM 4921 duty=150
post2 t=11s ts=1785425023 rpm=Current RPM 4926 duty=150
post2 t=12s ts=1785425024 rpm=Current RPM 4892 duty=150
post2 t=13s ts=1785425025 rpm=Current RPM 4931 duty=150
post2 t=14s ts=1785425026 rpm=Current RPM 4917 duty=150
post2 t=15s ts=1785425027 rpm=Current RPM 4926 duty=150
post2 t=16s ts=1785425028 rpm=Current RPM 4921 duty=150
post2 t=17s ts=1785425029 rpm=Current RPM 4931 duty=150
post2 t=18s ts=1785425031 rpm=Current RPM 4917 duty=150
post2 t=19s ts=1785425032 rpm=Current RPM 4921 duty=150
