write #1: duty=150 at t=0
t=0s ts=1785425696 rpm=Current RPM 2788 duty=150
t=1s ts=1785425697 rpm=Current RPM 3482 duty=150
t=2s ts=1785425698 rpm=Current RPM 4780 duty=150
t=3s ts=1785425699 rpm=Current RPM 4868 duty=150
t=4s ts=1785425700 rpm=Current RPM 4863 duty=150
t=5s ts=1785425701 rpm=Current RPM 4863 duty=150
t=6s ts=1785425702 rpm=Current RPM 4872 duty=150
t=7s ts=1785425703 rpm=Current RPM 4853 duty=150
t=8s ts=1785425704 rpm=Current RPM 4872 duty=150
t=9s ts=1785425705 rpm=Current RPM 4902 duty=150
t=10s ts=1785425706 rpm=Current RPM 4863 duty=150
t=11s ts=1785425707 rpm=Current RPM 4887 duty=150
t=12s ts=1785425708 rpm=Current RPM 4897 duty=150
t=13s ts=1785425709 rpm=Current RPM 4897 duty=150
t=14s ts=1785425710 rpm=Current RPM 4902 duty=150
t=15s ts=1785425711 rpm=Current RPM 4887 duty=150
t=16s ts=1785425712 rpm=Current RPM 4892 duty=150
t=17s ts=1785425713 rpm=Current RPM 4902 duty=150
t=18s ts=1785425714 rpm=Current RPM 4892 duty=150
t=19s ts=1785425715 rpm=Current RPM 4917 duty=150
t=20s ts=1785425716 rpm=Current RPM 4921 duty=150
t=21s ts=1785425717 rpm=Current RPM 4897 duty=150
t=22s ts=1785425718 rpm=Current RPM 4926 duty=150
t=23s ts=1785425720 rpm=Current RPM 4921 duty=150
t=24s ts=1785425721 rpm=Current RPM 4926 duty=150
t=25s ts=1785425722 rpm=Current RPM 4926 duty=150
t=26s ts=1785425723 rpm=Current RPM 4917 duty=150
t=27s ts=1785425724 rpm=Current RPM 4902 duty=150
t=28s ts=1785425725 rpm=Current RPM 4951 duty=150
t=29s ts=1785425726 rpm=Current RPM 4917 duty=150
t=30s ts=1785425727 rpm=Current RPM 4926 duty=150
t=31s ts=1785425728 rpm=Current RPM 4926 duty=150
t=32s ts=1785425729 rpm=Current RPM 4946 duty=150
t=33s ts=1785425730 rpm=Current RPM 4921 duty=150
t=34s ts=1785425731 rpm=Current RPM 4633 duty=76
REASSERT #1 detected at t=34s (duty now 76)
write #2: duty=150 at t=34s (right after reassert #1)
post2 t=0s ts=1785425731 rpm=Current RPM 4633 duty=150
post2 t=1s ts=1785425732 rpm=Current RPM 4335 duty=150
post2 t=2s ts=1785425733 rpm=Current RPM 4931 duty=150
post2 t=3s ts=1785425734 rpm=Current RPM 4921 duty=150
post2 t=4s ts=1785425735 rpm=Current RPM 4951 duty=150
post2 t=5s ts=1785425737 rpm=Current RPM 4931 duty=150
post2 t=6s ts=1785425738 rpm=Current RPM 4946 duty=150
post2 t=7s ts=1785425739 rpm=Current RPM 4921 duty=150
post2 t=8s ts=1785425740 rpm=Current RPM 4956 duty=150
post2 t=9s ts=1785425741 rpm=Current RPM 4926 duty=150
post2 t=10s ts=1785425742 rpm=Current RPM 4946 duty=150
post2 t=11s ts=1785425743 rpm=Current RPM 4931 duty=150
post2 t=12s ts=1785425744 rpm=Current RPM 4921 duty=150
post2 t=13s ts=1785425745 rpm=Current RPM 4960 duty=150
post2 t=14s ts=1785425746 rpm=Current RPM 4936 duty=150
post2 t=15s ts=1785425747 rpm=Current RPM 4931 duty=150
post2 t=16s ts=1785425749 rpm=Current RPM 4946 duty=150
post2 t=17s ts=1785425750 rpm=Current RPM 4960 duty=150
post2 t=18s ts=1785425751 rpm=Current RPM 4917 duty=150
post2 t=19s ts=1785425752 rpm=Current RPM 4956 duty=150
post2 t=20s ts=1785425753 rpm=Current RPM 4921 duty=150
post2 t=21s ts=1785425754 rpm=Current RPM 4956 duty=150
post2 t=22s ts=1785425755 rpm=Current RPM 4951 duty=150
post2 t=23s ts=1785425756 rpm=Current RPM 4926 duty=150
post2 t=24s ts=1785425757 rpm=Current RPM 4960 duty=150
post2 t=25s ts=1785425758 rpm=Current RPM 4936 duty=150
post2 t=26s ts=1785425759 rpm=Current RPM 4941 duty=150
post2 t=27s ts=1785425760 rpm=Current RPM 4946 duty=150
post2 t=28s ts=1785425761 rpm=Current RPM 4926 duty=150
post2 t=29s ts=1785425762 rpm=Current RPM 4956 duty=150
post2 t=30s ts=1785425763 rpm=Current RPM 4931 duty=150
post2 t=31s ts=1785425764 rpm=Current RPM 4946 duty=150
post2 t=32s ts=1785425765 rpm=Current RPM 4956 duty=150
